No Kuesioner,Nama Kuesioner,Dusun / Kampung,Kelurahan,Kecamatan,Kota,DAPIL,Provinsi,P1,P2,P3,P4,P5,P6,P7,P8,P9,Pilihan Presiden
1084,Kuesioner 1084,celep,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,1,3,1,1,9,10,5,2,2,3
1085,Kuesioner 1085,mlancu,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,3,6,3,1,9,10,3,2,2,3
1086,Kuesioner 1086,"mlancu, kandangan",mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,2,3,1,1,9,10,5,2,2,1
1087,Kuesioner 1087,mlancu,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,2,6,3,1,9,10,5,2,2,3
1088,Kuesioner 1088,Mlancu ,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,2,17,1,1,9,10,4,2,2,1
1089,Kuesioner 1089,mloyo,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,1,6,3,1,9,10,5,2,2,1
1090,Kuesioner 1090,mlancu,mlancu,Kandangan,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,2,12,4,1,9,10,5,2,2,1
1091,Kuesioner 1091,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,3,14,3,1,9,10,3,JOKOWI DAN MARUF AMIN,2,1
1092,Kuesioner 1092,"tegalan, ","tegalan,",Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,4,3,2,1,9,10,4,2,2,3
1093,Kuesioner 1093,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,4,3,3,1,14,10,4,JOKOWI DAN MARUF AMIN,PAN,1
1094,Kuesioner 1094,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,3,8,4,1,9,10,3,2,2,3
1095,Kuesioner 1095,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,4,12,4,1,13,10,4,JOKOWI dan Ma'RUF Aman,PAN,1
1096,Kuesioner 1096,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,3,3,3,1,14,10,3,2,2,3
1097,Kuesioner 1097,tegalarum,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,4,8,4,1,14,10,2,2,2,3
1098,Kuesioner 1098,tegalarum,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,6,8,5,1,9,10,3,2,2,3
1099,Kuesioner 1099,tegalarum,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,3,8,4,1,9,10,2,2,2,1
1100,Kuesioner 1100,tegalan,tegalan,Kandat,Kab. Kediri,JAWA TIMUR VI,Jawa Timur,1,3,1,1,14,10,5,2,2,1
1101,Kuesioner 1101,dsn. kedungdoro,ds. loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,2,15,3,1,13,10,3,JOKO WIDODO dan MA'RUF AMIN,PDIP,1
1102,Kuesioner 1102,dsn. kedungdoro,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,2,1,2,1,13,10,4,JOKO WIDODO DAN MA'RUF AMIN,PDI PERJUANGAN,1
1103,Kuesioner 1103,dsn. gempolsari,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,1,1,3,1,13,10,5,2,2,3
1104,Kuesioner 1104,dsn. gempolsari,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,1,1,3,1,13,10,5,JOKO WIDODO dan MA'RUF AMIN,2,1
1105,Kuesioner 1105,dsn. gempolsari,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,1,1,3,1,13,10,4,JOKO WIDODO dan MA'RUF AMIN,PDIP,1
1106,Kuesioner 1106,dsn. gempolsari,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,3,14,3,1,13,10,3,2,2,1
1107,Kuesioner 1107,dsn. kedungdoro ,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,6,15,4,1,13,10,5,JOKO WIDODO DAN MA'RUF AMIN,PDIP,1
1108,Kuesioner 1108,dsn. kedungdoro,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,3,14,1,1,13,10,5,JOKO WIDODO dan MA'RUF AMIN,2,1
1109,Kuesioner 1109,dsn. kedungdoro,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,1,1,2,1,13,10,5,2,2,3
1110,Kuesioner 1110,dsn. kedungdoro,loderesan,Kedungwaru,Kab. Tulungagung,JAWA TIMUR VI,Jawa Timur,4,3,8,1,13,10,2,JOKO WIDODO dan MA'RUF AMIN,GOLKAR,1
1111,Kuesioner 1111,Godeg,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,12,3,1,13,10,4,"Jokowi dan Ma'ruf Amin
",PDI,1
1112,Kuesioner 1112,Tumpang,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,15,3,1,13,10,3,Jokowi dan Ma'ruf Amin,PDI,1
1113,Kuesioner 1113,Tumpeng,Selonpanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,2,12,3,1,9,10,5,Jokowi dan Ma'ruf Amin,Demokrat,1
1114,Kuesioner 1114,Tumpang,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,3,3,1,9,10,4,Jokowi dan Maruf Amin,PDI,1
1115,Kuesioner 1115,Godeg,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,6,2,4,1,13,10,4,2,2,2
1116,Kuesioner 1116,Ngleses,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,2,12,3,1,9,10,5,Prabowo dan Sandiaga Uno,Gerindra,2
1117,Kuesioner 1117,Ngleses,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,Perangkat Desa,3,1,9,10,4,2,2,2
1118,Kuesioner 1118,Ngleses,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,6,2,3,1,13,10,3,2,2,2
1119,Kuesioner 1119,Ngleses,Ngariboyo,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,15,3,1,9,10,5,Prabowo dan Sandiaga Uno,Demokrat,2
1120,Kuesioner 1120,Ngleses,Selopanggung,Ngariboyo,Kab. Magetan,JAWA TIMUR VII,Jawa Timur,4,15,3,1,9,10,5,Jokowi dan Ma'ruf Amin,2,1
1121,Kuesioner 1121,penanggungan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,3,8,3,1,9,10,3,jokowi sandiaga,pkb,1
1122,Kuesioner 1122,penanggungan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,1,12,2,1,9,10,5,jokowi dan sandiaga,2,1
1123,Kuesioner 1123,tiron,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,10,5,1,9,10,4,jokowi dan sansiaga,golkar,1
1124,Kuesioner 1124,panguripan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,1,12,1,1,9,10,5,jokowi,2,1
1125,Kuesioner 1125,tiron jetis,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,1,1,3,1,9,10,5,2,2,1
1126,Kuesioner 1126,tiron,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,12,2,1,9,10,4,jokowi amin,pkb,2
1127,Kuesioner 1127,banyu panguripan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,1,12,2,1,9,10,5,jokowi,golkar,1
1128,Kuesioner 1128,banyu panguripan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,8,2,1,9,10,5,2,pdip,1
1129,Kuesioner 1129,banyupanguripan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,1,12,2,1,9,10,6,2,gerindra,2
1130,Kuesioner 1130,panguripan,koripan,Bungkal,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,12,2,1,9,10,5,jokowi dan amin,golkar,2
1131,Kuesioner 1131,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,3,12,4,1,9,10,5,jokowi,pan,1
1132,Kuesioner 1132,sambit,sambit,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,1,4,1,9,10,5,jokowi,pan,1
1133,Kuesioner 1133,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,4,1,4,1,9,10,4,jokowi,2,1
1134,Kuesioner 1134,sambit,sambit,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,4,3,3,1,9,10,4,jokowi,demokrat,1
1135,Kuesioner 1135,kemuning,sambit,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,3,12,4,1,9,10,4,jokowi,2,1
1136,Kuesioner 1136,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,3,4,1,9,10,6,jokowi,2,1
1137,Kuesioner 1137,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,6,12,4,1,9,10,4,jokowi,demokrat,1
1138,Kuesioner 1138,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,2,3,4,1,9,10,3,jokowi,2,1
1139,Kuesioner 1139,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,6,4,4,1,9,10,2,jokowi,2,1
1140,Kuesioner 1140,kemuning,kemuning,Sambit,Kab. Ponorogo,JAWA TIMUR VII,Jawa Timur,6,4,4,1,9,10,2,jokowi ,2,1
1141,Kuesioner 1141,sambigelar ,pojok kulon,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,3,12,3,1,9,10,4,JOKOWI DAN MA'RUF,PDIP,1
1142,Kuesioner 1142,dusun sambi gelar ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,1,1,9,10,5,2,2,3
1143,Kuesioner 1143,pojok kulon ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,3,1,9,10,5,JOKOWI DAN MA'RUF,PDI,1
1144,Kuesioner 1144,kampung turi ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,3,1,9,10,4,JOKOWI DAN MA'RUF,PDIP,1
1145,Kuesioner 1145,pojok kulon ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,15,3,1,9,10,5,JOKOWI DAN MA'RUF,PKB,1
1146,Kuesioner 1146,Pojok Kulon,Pojok Kulon,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,2,1,9,10,5,2,PKB,1
1147,Kuesioner 1147,pojok kulon ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,3,1,9,10,2,2,2,3
1148,Kuesioner 1148,pojok kulon ,pojok kulon,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,1,6,2,1,9,10,5,2,PPP,3
1149,Kuesioner 1149,menjang kuning ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,3,12,3,1,9,10,3,JOKOWI DAN MA'RUF,PDIP,1
1150,Kuesioner 1150,menjangan kuning ,pojok kulon ,Kesamben,Kab. Jombang,JAWA TIMUR VIII,Jawa Timur,2,12,3,1,9,10,4,JOKOWI DAN MA'RUF,NASDEM ,1
1151,Kuesioner 1151,kembang kuning,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,15,2,1,13,10,4,jokowidodo,pkb,1
1152,Kuesioner 1152,kembang kuning,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,15,2,1,13,10,4,2,partai sejahtera,1
1153,Kuesioner 1153,BOLO,BOLO,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,12,2,1,14,10,3,2,2,2
1154,Kuesioner 1154,senanas,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,12,2,1,14,10,2,JOKO WIDODO DAN MA'RUF AMIN,2,1
1155,Kuesioner 1155,jajar,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,2,12,2,1,14,10,4,JOKO WIDODO MA'RUF AMIN,2,1
1156,Kuesioner 1156,tupang,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,3,2,1,14,10,2,JOKO WIDODO MA'RUF AMIN,PERINDO,1
1157,Kuesioner 1157,jajar,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,8,3,3,,10,3,JOKO WIDODI dan MA'RUF AMIN,2,1
1158,Kuesioner 1158,jajar,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,2,12,2,1,14,10,4,JOKO WIDODO dan MA'RUF AMIN,KEADILAN SEJAHTERA,1
1159,Kuesioner 1159,jajar,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,2,12,2,1,14,10,6,JOKO WIDODO  dan MA'RUF AMIN,2,1
1160,Kuesioner 1160,jajar,bolo,Kare,Kab. Madiun,JAWA TIMUR VIII,Jawa Timur,3,12,2,1,14,10,3,JOKO WIDODO dan MA'RUF AMIN,2,1
1161,Kuesioner 1161,Sambikerep,Pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,3,12,8,1,ISHARI,10,5,2,2,2
1162,Kuesioner 1162,Sambikerep,Pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,3,6,3,1,13,10,5,2,2,3
1163,Kuesioner 1163,Sambikerep,Pandan Krajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,4,8,5,1,14,19,4,JOKOWI DAN MA'RUF AMIN,2,1
1164,Kuesioner 1164,Sambikerep,Kemlagi,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,2,1,1,1,13,10,5,2,2,3
1165,Kuesioner 1165,Sambikerep,pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,2,15,3,1,9,10,4,JOKO WIDODO DAN MA'RUF AMIN,PDIP,1
1166,Kuesioner 1166,Sambikerep,PandanKrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,2,1,8,1,13,19,5,2,2,1
1167,Kuesioner 1167,Sumbergayam,Kemlagi,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,1,1,8,1,9,10,5,JOKOWI DAN MA'RUF,2,1
1168,Kuesioner 1168,Sambikerep,Pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,2,12,8,1,FATAYAT NU,10,4,2,2,2
1169,Kuesioner 1169,Sumbergayam,Pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,1,12,8,1,9,10,5,2,2,1
1170,Kuesioner 1170,Sumbergayam,Pandankrajan,Kemlagi,Kab. Mojokerto,JAWA TIMUR VIII,Jawa Timur,1,1,2,1,As-Shidiqiyah,10,4,2,2,2
1171,Kuesioner 1171,kanigoro,Mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,3,1,1,1,9,10,4,Jokowi dan Makruf Amin,PPP,1
1172,Kuesioner 1172,mojoduwur,Ngetos,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,1,1,1,9,10,4,2,2,2
1173,Kuesioner 1173,Jatirejo,Mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,1,3,1,9,10,4,Jokowi dan Ma'ruf ,PKB,1
1174,Kuesioner 1174,sana,mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,1,1,1,9,10,4,Jokowi dan Makruf Amin,PPP,2
1175,Kuesioner 1175,mojoduwur,mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,3,12,4,1,9,10,3,2,2,1
1176,Kuesioner 1176,sanan,mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,3,6,2,1,9,10,3,2,2,1
1177,Kuesioner 1177,mojoduwur,ngetos,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,4,1,3,1,9,10,2,2,2,1
1178,Kuesioner 1178,mojoduwur ,ngetos ,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,1,3,1,9,10,4,2,2,1
1179,Kuesioner 1179,mojoduwur,mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,12,4,1,9,10,4,2,2,1
1180,Kuesioner 1180,mojoduwur,mojoduwur,Ngetos,Kab. Nganjuk,JAWA TIMUR VIII,Jawa Timur,2,1,6,1,9,10,5,2,2,1
1181,Kuesioner 1181,bronto,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,1,4,1,9,10,3,2,2,3
1182,Kuesioner 1182,bronto,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,3,4,1,9,10,5,Jokowi dan maruf,2,1
1183,Kuesioner 1183,krajan,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,1,4,1,9,10,2,Jokowi maruf,2,1
1184,Kuesioner 1184,krajan ,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,5,3,4,1,9,10,3,prabowo,2,2
1185,Kuesioner 1185,krajan,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,15,4,1,9,10,3,Jokowi maruf,pkpi,1
1186,Kuesioner 1186,krajan,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,3,4,8,,19,7,2,2,2
1187,Kuesioner 1187,krajan,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,15,4,1,9,10,4,2,2,1
1188,Kuesioner 1188,alasgung,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,3,4,1,9,10,4,Jokowi maruf,2,1
1189,Kuesioner 1189,alasgung pencol,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,1,4,1,9,10,5,jokowi,2,1
1190,Kuesioner 1190,alasgung pencol,alasgung,Sugihwaras,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,3,4,1,9,10,4,2,2,2
1191,Kuesioner 1191,sugihan,kedung sumber,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,12,4,1,9,10,4,2,2,1
1192,Kuesioner 1192,sugihan,kedungsumber,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,3,4,1,9,10,2,jokowi maruf ,2,1
1193,Kuesioner 1193,sugihan,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,1,4,1,9,19,3,prabowo sandi,2,2
1194,Kuesioner 1194,sugihan,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,3,4,1,9,10,3,2,2,1
1195,Kuesioner 1195,kedungsumber,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,1,4,1,9,10,3,jokowi maruf,2,1
1196,Kuesioner 1196,kedungsumber ,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,3,4,8,,10,4,2,2,2
1197,Kuesioner 1197,kali waruh,kedung sumber,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,3,1,4,1,9,10,4,prabowo,2,2
1198,Kuesioner 1198,kalimaru,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,1,4,1,14,10,4,2,2,3
1199,Kuesioner 1199,tretes,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,2,1,4,1,9,10,4,2,2,1
1200,Kuesioner 1200,tretes ,kedungsumber ,Temayang,Kab. Bojonegoro,JAWA TIMUR IX,Jawa Timur,7,17,8,8,,19,7,2,2,1
1201,Kuesioner 1201,Pakuwon ,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,8,5,1,9,10,4,2,2,2
1202,Kuesioner 1202,Pakuwon,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,2,12,8,1,9,10,5,JOKOWI DAN MA'RUF AMIN ,2,1
1203,Kuesioner 1203,Pakuwon ,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,3,4,8,1,9,10,1,JOKOWI DAN MA'RUF AMIN ,PDIP ,1
1204,Kuesioner 1204,Prubungan,Sidomukti,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,3,8,1,9,10,2,JOKOWI DAN MA'RUF AMIN ,2,1
1205,Kuesioner 1205,Mulyo Sari,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,1,12,8,1,9,10,5,2,2,3
1206,Kuesioner 1206,Mulyosari ,Sidomukti,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,2,8,5,1,9,10,2,JOKOWI DAN MA'RUF AMIN ,PDIP ,1
1207,Kuesioner 1207,Mulyosari,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,14,8,1,9,10,1,JOKOWI DAN MA'RUF AMIN ,Nasdem,1
1208,Kuesioner 1208,Mulyosari,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,2,3,8,1,9,10,3,JOKOWI DAN MA'RUF AMIN ,Nasdem,1
1209,Kuesioner 1209,Tegalsari,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,8,4,1,9,10,3,2,2,3
1210,Kuesioner 1210,Tegalsari,Sidomukti ,Bungah,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,3,8,1,9,10,3,2,2,3
1211,Kuesioner 1211,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,14,8,1,9,10,1,JOKOWI DAN MA'RUF AMIN ,PDIP ,1
1212,Kuesioner 1212,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,2,3,8,1,9,10,5,JOKOWI DAN MA'RUF AMIN ,PDIP ,1
1213,Kuesioner 1213,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,8,4,1,9,10,4,PRABOWO DAN SANDIAGA ,2,2
1214,Kuesioner 1214,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,2,12,8,1,9,10,4,JOKOWI DAN MA'RUF ,PKB ,1
1215,Kuesioner 1215,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,6,11,8,1,13,10,5,PRABOWO DAN SANDIAGA ,GERINDRA ,2
1216,Kuesioner 1216,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,4,8,1,9,10,1,2,2,3
1217,Kuesioner 1217,Dadapkuning ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,4,8,1,9,10,1,2,2,2
1218,Kuesioner 1218,Dadapkuning ,Dadapkuning,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,3,8,1,9,10,2,PRABOWO DAN SANDIAGA ,DEMOKRAT ,2
1219,Kuesioner 1219,Lekerrejo ,Dadapkuning ,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,Bengkel,4,1,9,10,1,JOKOWI DAN MA'RUF AMIN ,PKB ,1
1220,Kuesioner 1220,Lekerrejo,Dadapkuning,Cerme,Kab. Gresik,JAWA TIMUR X,Jawa Timur,4,8,5,1,8,10,2,JOKOWI DAN MA'RUF AMIN ,PDIP ,1
1221,Kuesioner 1221,geppeng,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,4,5,1,1,14,11,2,2,2,1
1222,Kuesioner 1222,dheri,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,3,6,2,1,14,19,5,2,2,1
1223,Kuesioner 1223,geppeng,modung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,2,5,1,1,9,11,4,jokowi,2,1
1224,Kuesioner 1224,dheri,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,3,12,1,1,9,11,3,prabowo,2,2
1225,Kuesioner 1225,gumung,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,4,1,1,1,9,11,2,jokowi,2,1
1226,Kuesioner 1226,gumung,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,3,1,1,1,9,11,3,jokowi,2,1
1227,Kuesioner 1227,be'alang,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,2,1,1,1,9,11,4,prabowo,2,2
1228,Kuesioner 1228,be'alang,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,2,1,1,1,9,11,4,2,2,3
1229,Kuesioner 1229,gumung,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,4,1,1,1,9,11,2,prabowo,demokrat,2
1230,Kuesioner 1230,gumung,pangpajung,Modung,Kab. Bangkalan,JAWA TIMUR XI,Jawa Timur,3,6,2,1,9,11,3,prabowo,2,2
1231,Kuesioner 1231,kajujila,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,4,12,8,1,9,11,3,Prabowo sandi,2,2
1232,Kuesioner 1232,kajujilah,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,1,6,1,1,9,11,3,"Prabowo sandi
",2,2
1233,Kuesioner 1233,bojudan,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,1,12,8,1,9,11,6,Prabowo sandi,2,2
1234,Kuesioner 1234,bujudan,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,2,12,1,1,9,11,3,Prabowo sandi,pks,2
1235,Kuesioner 1235,rampak,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,4,12,1,1,9,11,3,prabowo,2,2
1236,Kuesioner 1236,rampak,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,2,12,1,1,9,11,3,Prabowo sandi,pks,2
1237,Kuesioner 1237,sangsang,sana laok,Waru,Kab. Pamekasan,JAWA TIMUR XI,Jawa Timur,1,12,1,1,9,11,6,Prabowo sandi,2,2
